tweet_id,in_reply_to_status_id,in_reply_to_user_id,retweeted_status_id,retweeted_status_user_id,timestamp,source,text,expanded_urls,,
3.13529E+17,,,3.13527E+17,206830094,2013-03-18 05:54:55 +0000,web,RT @hilbert_d: 【はてブ新着IT】 自然言語のテキストを属性で区分する - Over&amp;Out その後 http://t.co/aPKf9HRN7x,http://dlvr.it/35gmDC,,
3.13514E+17,,,,,2013-03-18 04:56:10 +0000,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","""アーカイブ後のipa自動生成 | Cocoaの日々情報局"" http://t.co/q9cxeMp22g",http://cocoadays-info.blogspot.com/2013/03/ipa.html,,
3.13513E+17,,,3.1349E+17,51303364,2013-03-18 04:53:01 +0000,web,RT @xcatsan: [Cocoaの日々情報局] NSLinguisticTaggerで品詞分類 http://t.co/704fLr2eXi,http://goo.gl/fb/xHTrr,,
3.13513E+17,,,3.13491E+17,4522261,2013-03-18 04:49:57 +0000,web,RT @pasela: NSLinguisticTaggerすごい / “自然言語のテキストを属性で区分する #iPhone #Xcode #iOS #自然言語処理 - Qiita” http://t.co/pMhaWYHURW,http://qiita.com/items/cf9e25ff60804044f437,,
3.13512E+17,,,,,2013-03-18 04:49:11 +0000,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","『ひと通りの説明があり分かりやすい。日本語の形態素解析も可能とのこと。』 / ""NSLinguisticTaggerで品詞分類 | Cocoaの日々情報局"" http://t.co/nKk5XfzbAS",http://cocoadays-info.blogspot.com/2013/03/nslinguistictagger.html,,
3.13505E+17,,,3.13503E+17,315591052,2013-03-18 04:19:23 +0000,web,"RT @papipo111: 役に立つかも
“@shimacpyon: 自然言語のテキストを属性で区分する - Over&amp;amp;Out その後 (id:shu223) http://t.co/ZWD0o0Iizq”",http://d.hatena.ne.jp/shu223/20130318/1363566717,,
3.13475E+17,,,3.1347E+17,14169633,2013-03-18 02:21:10 +0000,web,"RT @azu_re: 日本語もできたんだ  「NSLinguisticTagger」  ""自然言語のテキストを属性で区分する - Over&amp;Out その後""  http://t.co/N5gfalAwDW",http://bit.ly/132Tr40,,
3.13471E+17,,,,,2013-03-18 02:04:52 +0000,web,"Web Designing、新しめの号だとマーケットプレイスで定価より高い値段ついてる。2012年9月号以降のは中古でも1000円以上！
http://t.co/3bLRKSfruI",http://www.amazon.co.jp/s/ref=sr_st?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=%E3%82%A6%E3%82%A7%E3%83%96%E3%83%87%E3%82%B6%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0&qid=1363572037&rh=n%3A465392%2Ck%3A%E3%82%A6%E3%82%A7%E3%83%96%E3%83%87%E3%82%B6%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0&sort=-pubdate,,
3.13469E+17,,,3.13447E+17,1042913582,2013-03-18 01:56:34 +0000,web,RT @ios_dev_bot: 自然言語のテキストを属性で区分する http://t.co/9XHZI3cPfj [by @shu223] #iPhoneアプリ開発,http://qiita.com/items/cf9e25ff60804044f437,,
3.13457E+17,,,3.13456E+17,137366190,2013-03-18 01:08:29 +0000,web,RT @masa711115: こんなのできるんですね。面白そう！ RT @shu223: ブログ書きました！軽く試してみて書くつもりが、いろいろ調べてるうちにかなり長くなってしまいました。。 / “自然言語のテキストを属性で区分する” http://t.co/hv9Lp ...,,,
3.13454E+17,,,,,2013-03-18 00:55:52 +0000,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","サンプルもアップしました！ / ""自然言語のテキストを属性で区分する"" http://t.co/6VWAARsNWT",http://d.hatena.ne.jp/shu223/20130318/1363566717,,
3.13453E+17,,,3.1345E+17,260133044,2013-03-18 00:54:47 +0000,web,"RT @Keita_Shiya: へー！おもしろい！RT @shu223: ブログ書きました！軽く試してみて書くつもりが、いろいろ調べてるうちにかなり長くなってしまいました。。 / ""自然言語のテキストを属性で区分する"" http://t.co/zs1H5cZTYH",http://d.hatena.ne.jp/shu223/20130318/1363566717,,
3.13449E+17,,,,,2013-03-18 00:35:53 +0000,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","ブログ書きました！軽く試してみて書くつもりが、いろいろ調べてるうちにかなり長くなってしまいました。。 / ""自然言語のテキストを属性で区分する"" http://t.co/6VWAARsNWT",http://d.hatena.ne.jp/shu223/20130318/1363566717,,
3.1333E+17,,,,,2013-03-17 16:45:26 +0000,web,デスクトップの背景を毎日替えてくれるMacアプリをここ数ヶ月使ってみてたけど、「仕事やるかー」と起動して気に入らない背景だったらまず気に入る背景を選ぶところからスタートしてしまって非常に本末転倒なので、以前みたいに単色に戻した。,,,
3.12734E+17,,,,,2013-03-16 01:16:11 +0000,web,Kindleで『おおきく振りかぶって』読み始めた。全巻買ってしまいそう。青春がまぶしい。。 http://t.co/UgWd2ps25L,http://www.amazon.co.jp/exec/obidos/ASIN/B00A2MD86E/22301-22/ref=nosim/,,
3.12528E+17,3.12523E+17,57628054,,,2013-03-15 11:37:28 +0000,web,@ZuQ9Nn ですよね、わかってても迷っちゃいますよね。。,,,
3.12527E+17,,,3.12514E+17,64632370,2013-03-15 11:34:20 +0000,web,RT @kasajei: 面白い！w / “Mac のスクリーンショットを定期的に自動撮影する - Over&amp;Out その後” http://t.co/CumVj8wiPa,http://htn.to/qciGPv,,
